data	odmiana	typ	nip	kg
2022-01-03	Jonagold	Z	128-29-15-591	470
2022-01-03	Jonagold	Z	192-09-72-275	410
2022-01-03	Jonagored	Z	140-36-11-559	242
2022-01-04	Alwa	L	216-78-90-123	350
2022-01-05	Cortland	Z	128-29-15-591	520
2022-01-05	Antonowka	J	245-67-89-012	310
2022-01-06	Jonagold	Z	192-09-72-275	380
2022-01-07	Alwa	Z	140-36-11-559	290
2022-01-08	Cortland	L	216-78-90-123	420
2022-01-09	Jonagored	Z	128-29-15-591	550
2022-01-10	Alwa	J	192-09-72-275	370
2022-01-11	Antonowka	Z	245-67-89-012	480
2022-01-12	Cortland	Z	140-36-11-559	360
2022-01-13	Jonagold	L	216-78-90-123	430
2022-01-14	Jonagored	Z	128-29-15-591	410
2022-01-15	Alwa	Z	192-09-72-275	500
2022-01-16	Cortland	J	140-36-11-559	390
2022-01-17	Antonowka	Z	245-67-89-012	520
2022-01-18	Jonagold	Z	216-78-90-123	380
2022-01-19	Jonagored	L	128-29-15-591	470
2022-01-20	Alwa	Z	192-09-72-275	440
2022-01-21	Cortland	Z	140-36-11-559	510
2022-01-22	Antonowka	J	245-67-89-012	350
2022-01-23	Jonagold	Z	128-29-15-591	420
2022-01-24	Jonagored	Z	216-78-90-123	380
2022-01-25	Alwa	L	192-09-72-275	490
2022-01-26	Cortland	Z	140-36-11-559	450
2022-01-27	Antonowka	Z	245-67-89-012	410
2022-01-28	Jonagold	J	128-29-15-591	530
2022-01-29	Jonagored	Z	192-09-72-275	470
2022-01-30	Alwa	Z	216-78-90-123	360
2022-01-31	Cortland	Z	140-36-11-559	440
2022-02-01	Antonowka	L	245-67-89-012	380
2022-02-02	Jonagold	Z	128-29-15-591	500
2022-02-03	Jonagored	Z	192-09-72-275	420
2022-02-04	Alwa	J	140-36-11-559	290
2022-02-05	Cortland	Z	216-78-90-123	510
2022-02-06	Antonowka	Z	245-67-89-012	440
2022-02-07	Jonagold	L	128-29-15-591	380
